Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
Free Willy 2: The Adventure Home,1995,PG,1995-07-19,95,"Adventure, Drama, Family",Dwight H. Little,"Keith Walker (characters), Karen Janszen, Corey Blechman, John Mattson","Jason James Richter, Francis Capra, Mary Kate Schellhardt, August Schellenberg",Jesse becomes reunited with Willy three years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,"English, Malay, Indonesian","France, USA",2 wins & 2 nominations.,https://ia.media-imdb.com/images/M/MV5BZWY3OWY3MjUtN2E3NS00M2RkLWI5MWUtMmI4MjQ0MjFmZjM2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '4.9/10'}",N/A,4.9,"14,370",tt0113114,movie,28 Jan 2003,N/A,WARNER BROTHERS PICTURES,N/A,True
Hackers,1995,PG-13,1995-09-15,107,"Comedy, Crime, Drama",Iain Softley,Rafael Moreu,"Jonny Lee Miller, Angelina Jolie, Jesse Bradford, Matthew Lillard",Hackers are blamed for making a virus that will capsize five oil tankers.,"English, Italian, Japanese, Russian",USA,N/A,https://m.media-amazon.com/images/M/MV5BNmExMTkyYjItZTg0YS00NWYzLTkwMjItZWJiOWQ2M2ZkYjE4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.2/10'}",46,6.2,"60,007",tt0113243,movie,24 Apr 2001,N/A,MGM Home Entertainment,N/A,True
Jeffrey,1995,R,1995-08-18,92,"Comedy, Drama",Christopher Ashley,"Paul Rudnick (play), Paul Rudnick (screenplay)","Steven Weber, Peter Jacobson, Tom Cayler, David Thornton","Jeffrey, a young gay man in New York, decides that sex is too much and decides to become celibate. He immediately meets the man of his dreams and must decide whether or not love is worth ...",English,USA,1 win & 4 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTc4MjM1Njc3NF5BMl5BanBnXkFtZTcwNzI0OTgyMQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.7/10'}",N/A,6.7,"5,083",tt0113464,movie,03 Jun 2003,N/A,Westchester Films,N/A,True
Johnny Mnemonic,1995,R,1995-05-26,96,"Action, Crime, Sci-Fi, Thriller",Robert Longo,"William Gibson (screenplay), William Gibson (short story)","Keanu Reeves, Dina Meyer, Ice-T, Takeshi Kitano","A data courier, literally carrying a data package inside his head, must deliver it before he dies from the burden or is killed by the Yakuza.","English, Japanese","Canada, USA",2 wins & 3 nominations.,https://m.media-amazon.com/images/M/MV5BNTdhYjEzYTEtYTkwZC00NzgxLWI0ZWEtYmEyMGZhOWYwMjE2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.6/10'}",N/A,5.6,"60,885",tt0113481,movie,11 Nov 1997,N/A,Sony Pictures Home Entertainment,N/A,True
Judge Dredd,1995,R,1995-06-30,96,"Action, Crime, Sci-Fi",Danny Cannon,"John Wagner (characters), Carlos Ezquerra (characters), Michael De Luca (story), William Wisher (story), William Wisher (screenplay), Steven E. de Souza (screenplay)","Sylvester Stallone, Armand Assante, Rob Schneider, Jürgen Prochnow","In a dystopian future, Joseph Dredd, the most famous Judge (a police officer with instant field judiciary powers), is convicted for a crime he did not commit and must face his murderous counterpart.",English,USA,2 wins & 5 nominations.,https://m.media-amazon.com/images/M/MV5BYmM1NzUyY2YtOTU4My00ZmFmLWI4ZjYtYzJlM2JlOTBhZmIzXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.5/10'}",N/A,5.5,"99,586",tt0113492,movie,28 Aug 2001,N/A,Hollywood Pictures,N/A,True
Jury Duty,1995,PG-13,1995-04-12,88,Comedy,John Fortenberry,"Barbara Williams (story), Samantha Adams (story), Neil Tolkin (screenplay), Barbara Williams (screenplay), Samantha Adams (screenplay)","Pauly Shore, Tia Carrere, Stanley Tucci, Brian Doyle-Murray","When jobless Tommy Collins discovers that sequestered jurors earn free room and board as well as $5-a-day, he gets himself assigned to a jury in a murder trial. Once there, he does ...",English,USA,1 win & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BN2RlNGM4NjEtNjUxZC00YjA2LThjYjQtMDdkNDA1YzNlNzJjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '4.1/10'}",N/A,4.1,"6,656",tt0113500,movie,09 Dec 2003,N/A,Sony Pictures Home Entertainment,N/A,True
Kids,1995,UNRATED,1995-09-01,91,Drama,Larry Clark,Harmony Korine,"Leo Fitzpatrick, Sarah Henderson, Justin Pierce, Joseph Chan","A day in the life of a group of teens as they travel around New York City skating, drinking, smoking, and deflowering virgins.",English,USA,1 win & 5 nominations.,https://m.media-amazon.com/images/M/MV5BNTNmN2QyNTgtMTk0ZC00NmFhLWJlNzctZmMyYTczZTYyMzA1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.0/10'}",63,7.0,"65,519",tt0113540,movie,11 Jun 1997,N/A,Shining Excalibur Pictures,N/A,True
Living in Oblivion,1995,R,1995-07-21,90,"Comedy, Drama",Tom DiCillo,Tom DiCillo,"Steve Buscemi, Catherine Keener, Dermot Mulroney, Danielle von Zerneck",Film about filmmaking. It takes place during one day on set of non-budget movie. Ultimate tribute to all independent filmmakers.,English,USA,7 wins & 6 nominations.,https://ia.media-imdb.com/images/M/MV5BN2U2MDdjZjUtMGU1Ni00MzlkLTllZWQtZmJjNzJmYjE5YjAxXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.5/10'}",81,7.5,"14,022",tt0113677,movie,11 Feb 2003,N/A,Sony Pictures Home Entertainment,N/A,True
Lord of Illusions,1995,R,1995-08-25,109,"Horror, Mystery, Thriller",Clive Barker,"Clive Barker (story ""The Last Illusion""), Clive Barker (screenplay)","Scott Bakula, Kevin J. O'Connor, Joseph Latimore, Sheila Tousey","During a routine case in L.A., NY private investigator Harry D'Amour stumbles over members of a fanatic cult, who are waiting for the resurrection of their leader Nix. 13 years ago, Nix was...",English,USA,2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BNDg1OTc0MDQwNl5BMl5BanBnXkFtZTcwMjQ3NDk0NA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.1/10'}",N/A,6.1,"12,761",tt0113690,movie,29 Sep 1998,N/A,MGM Home Entertainment,N/A,True
Love & Human Remains,1993,R,1995-06-23,100,"Drama, Comedy",Denys Arcand,"Brad Fraser (play), Brad Fraser (screenplay)","Thomas Gibson, Ruth Marshall, Cameron Bancroft, Mia Kirshner","Set in a dreary urban landscape of Edmonton, LOVE AND HUMAN REMAINS is a dark comedy about a group of twentysomethings looking for love and meaning in the '90s. The film focuses on ...",English,Canada,1 win & 3 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxMzQ2OTk5OF5BMl5BanBnXkFtZTcwMDUxNDMzMQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.7/10'}",N/A,6.7,"2,225",tt0107447,movie,23 Jan 1996,N/A,Sony Pictures Home Entertainment,N/A,True
Mad Love,1995,PG-13,1995-05-26,93,"Drama, Romance",Antonia Bird,Paula Milne,"Chris O'Donnell, Drew Barrymore, Matthew Lillard, Richard Chaim",The high-school student Matt Leland lives with his twin brother and sister and his father in a house by the lake. When the teenager Casey Roberts moves to the house on the other side of the...,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZjBlZmVmZWItODBhNC00MzY0LWFjMDktODI0NmJiMDAxYmNjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.3/10'}",N/A,5.3,"5,725",tt0113729,movie,18 Jan 2000,N/A,A-Pix,N/A,True
Mallrats,1995,R,1995-10-20,94,"Comedy, Romance",Kevin Smith,Kevin Smith,"Shannen Doherty, Jeremy London, Jason Lee, Claire Forlani","Both dumped by their girlfriends, two best friends seek refuge in the local mall.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZGNhYzE4YzktNDIwNC00YmRiLTgyOTgtMzk1ZjNhNmI4ODI1XkEyXkFqcGdeQXVyMTk3NDAwMzI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",41,7.2,"106,803",tt0113749,movie,18 Jul 2000,N/A,MCA Universal Home Video,N/A,True
Mighty Morphin Power Rangers: The Movie,1995,PG,1995-06-30,95,"Action, Adventure, Family, Sci-Fi, Thriller",Bryan Spicer,"John Kamps (story), Arne Olsen (story), Arne Olsen (screenplay)","Karan Ashley, Johnny Yong Bosch, Steve Cardenas, Jason David Frank","A giant egg is unearthed at a construction site and soon opened, releasing the terrible Ivan Ooze, who wreaks vengeance on Zordon for imprisoning him millennia ago. With Zordon dying and their powers lost, the Rangers head to a distant planet to find the mystic warrior Dulcea.",English,"USA, Japan, Australia, New Zealand",1 nomination.,https://m.media-amazon.com/images/M/MV5BN2I2Y2I5N2MtMzJhMy00NzE2LThlMzEtNGE0ODA4M2JhOWNiXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.1/10'}",40,5.1,"22,704",tt0113820,movie,02 Sep 2003,N/A,20th Century Fox Film Corporation,N/A,True
Mute Witness,1995,R,1995-09-15,95,"Horror, Thriller",Anthony Waller,Anthony Waller,"Marina Zudina, Fay Ripley, Evan Richards, Oleg Yankovskiy","A mute makeup artist working on a slasher film being shot in Moscow, is locked in the studio after hours. While there she witnesses a brutal murder, and must escape capture.","English, Russian","Russia, UK, Germany",3 wins & 3 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQwMjczODAyOV5BMl5BanBnXkFtZTcwNDA5NjQyMQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.8/10'}",N/A,6.8,"4,711",tt0110604,movie,26 Aug 2003,N/A,Sony Pictures Home Entertainment,N/A,True
Nadja,1994,R,1995-09-01,93,"Drama, Horror",Michael Almereyda,Michael Almereyda,"Elina Löwensohn, Nic Ratner, Karl Geary, Peter Fonda","This ultra-hip, post-modern vampire tale is set in contemporary New York City. Members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of ...",English,USA,2 wins & 5 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2NTE5MDI4MV5BMl5BanBnXkFtZTcwODM4MDMzMQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.0/10'}",64,6.0,"2,605",tt0110620,movie,N/A,N/A,N/A,N/A,True
The Net,1995,PG-13,1995-07-28,114,"Action, Crime, Drama, Mystery, Thriller",Irwin Winkler,"John Brancato, Michael Ferris","Sandra Bullock, Jeremy Northam, Dennis Miller, Diane Baker","A computer programmer stumbles upon a conspiracy, putting her life and the lives of those around her in great danger.","English, Spanish",USA,2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BYWU1YjQ3NTUtZjZkZi00ZDc5LTgyZTgtNzkxMTIzNzUwZGY0XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.9/10'}",51,5.9,"54,365",tt0113957,movie,26 Nov 1997,N/A,Sony Pictures Home Entertainment,N/A,True
Nine Months,1995,PG-13,1995-07-12,103,"Comedy, Romance",Chris Columbus,"Patrick Braoudé (film ""Neuf mois""), Chris Columbus (screenplay)","Hugh Grant, Julianne Moore, Tom Arnold, Joan Cusack","When he finds out his longtime girlfriend is pregnant, a commitment-phobe realizes he might have to change his lifestyle for better or much, much worse.","English, Russian",USA,1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BY2U3YTQzYWYtZTBlYi00ZmJjLTkzMjAtOTljYmE5MThhNzk5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.5/10'}",47,5.5,"32,497",tt0113986,movie,17 Apr 2001,N/A,Twentieth Century Fox Home Entertainment,N/A,True
Party Girl,1995,R,1995-06-09,94,Comedy,Daisy von Scherler Mayer,"Harry Birckmayer (screenplay), Harry Birckmayer (story), Sheila Gaffney (story), Daisy von Scherler Mayer (screenplay), Daisy von Scherler Mayer (story)","Parker Posey, Anthony DeSando, Guillermo Díaz, Donna Mitchell","Mary is a free-spirited young woman with a run-down New York apartment and a high fashion wardrobe. She calls her godmother, a librarian, for bail money after being arrested for throwing an...",English,USA,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ0MTE0NTQxMV5BMl5BanBnXkFtZTcwMDQ2NjkyMQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.6/10'}",55,6.6,"3,829",tt0114095,movie,10 Dec 2002,N/A,Sony Pictures Home Entertainment,N/A,True
The Prophecy,1995,R,1995-09-01,98,"Action, Crime, Drama, Fantasy, Horror, Mystery, Thriller",Gregory Widen,Gregory Widen,"Christopher Walken, Elias Koteas, Virginia Madsen, Eric Stoltz","The angel Gabriel comes to Earth to collect a soul which will end the stalemated war in Heaven, and only a former priest and a little girl can stop him.",English,USA,2 nominations.,https://m.media-amazon.com/images/M/MV5BZjM4N2I0ZjYtMTFmNC00ZGQ0LWIzNmMtZDZjNzIwOGM1NzA0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.5/10'}",N/A,6.5,"26,481",tt0114194,movie,09 Feb 1999,N/A,Dimension Films,N/A,True
Reckless,1995,PG-13,1995-11-17,91,"Comedy, Drama, Fantasy",Norman René,Craig Lucas,"Mia Farrow, Tony Goldwyn, Juana Barrios, Mike Heibeck","On Christmas Eve, a regretful husband admits to his high-spirited wife that he has hired a contract killer to take her out. She immediately flees. A nice couple offers her shelter, but everyone have dark secrets in this wacky movie.",English,USA,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTk4ODEzNDktM2U1ZC00MjhiLWEyMTgtNmI2NGM0ZWE3MTE2XkEyXkFqcGdeQXVyNjExODE1MDc@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.1/10'}",N/A,5.1,385,tt0114241,movie,14 May 1996,N/A,Samuel Goldwyn Films,N/A,True
Safe,1995,R,1995-06-30,119,Drama,Todd Haynes,Todd Haynes,"Julianne Moore, Xander Berkeley, Dean Norris, Julie Burgess",An affluent and unexceptional homemaker in the suburbs develops multiple chemical sensitivity.,"English, Spanish","UK, USA",4 wins & 12 nominations.,https://ia.media-imdb.com/images/M/MV5BODliOWEzMTUtZDQ5ZS00ZTBmLTgzNzEtMGVkOTlhYWNkYjE2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",76,7.2,"9,882",tt0114323,movie,21 Aug 2001,N/A,Sony Pictures Home Entertainment,N/A,True
The Scarlet Letter,1995,R,1995-10-13,135,"Drama, Romance",Roland Joffé,"Nathaniel Hawthorne (novel), Douglas Day Stewart (screenplay)","Demi Moore, Gary Oldman, Robert Duvall, Lisa Andoh",An affair between a young woman and a pastor has disastrous consequences.,English,USA,1 win & 10 nominations.,https://m.media-amazon.com/images/M/MV5BMTkxOWQ0OWMtY2E5YS00YjkzLWFjODQtZGY4NTQ5YmE2OGIzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.2/10'}",N/A,5.2,"13,229",tt0114345,movie,04 Jun 2002,N/A,Buena Vista,N/A,True
Showgirls,1995,NC-17,1995-09-22,128,Drama,Paul Verhoeven,Joe Eszterhas,"Elizabeth Berkley, Kyle MacLachlan, Gina Gershon, Glenn Plummer","Nomi, a young drifter, arrives in Las Vegas to become a dancer and soon sets about clawing and pushing her way to become the top of the Vegas showgirls.",English,"France, USA",10 wins & 10 nominations.,https://m.media-amazon.com/images/M/MV5BNzcyMjExNjg3OF5BMl5BanBnXkFtZTgwOTY4Mjc1MDE@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '4.7/10'}",16,4.7,"55,699",tt0114436,movie,25 Apr 2000,N/A,MGM Home Entertainment,N/A,True
Smoke,1995,R,1995-06-09,112,"Comedy, Drama","Wayne Wang, Paul Auster",Paul Auster,"Giancarlo Esposito, José Zúñiga, Stephen Gevedon, Harvey Keitel","A Brooklyn smoke shop is the center of neighborhood activity, and the stories of its customers.",English,"Germany, Japan, USA",9 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BMjUwYTdiYjItNTgzNS00MmQ3LWJlMDctODMyNTkxMjIxMDgwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.4/10'}",70,7.4,"30,555",tt0114478,movie,04 Mar 2003,N/A,Miramax,N/A,True
Something to Talk About,1995,R,1995-08-04,106,"Comedy, Drama, Romance",Lasse Hallström,Callie Khouri,"Julia Roberts, Dennis Quaid, Robert Duvall, Gena Rowlands",A woman's world is rocked when she discovers her husband is cheating on her.,English,USA,Nominated for 1 Golden Globe. Another 1 win & 2 nominations.,https://m.media-amazon.com/images/M/MV5BZDhmOTczMjItMzg5NS00OTFiLWEzYTctMjAxMTZmMWVmMmQxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.7/10'}",N/A,5.7,"11,400",tt0114496,movie,14 Dec 1999,N/A,Warner Home Video,N/A,True
Species,1995,R,1995-07-07,108,"Action, Horror, Sci-Fi",Roger Donaldson,Dennis Feldman,"Ben Kingsley, Michael Madsen, Alfred Molina, Forest Whitaker",A group of scientists try to track down and trap a killer alien seductress before she successfully mates with a human.,English,USA,3 wins & 6 nominations.,https://m.media-amazon.com/images/M/MV5BMjEzOTkxNTcyM15BMl5BanBnXkFtZTcwOTk0MjI3NA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.8/10'}",49,5.8,"67,129",tt0114508,movie,27 Aug 1997,N/A,MGM Home Entertainment,N/A,True
Strange Days,1995,R,1995-10-13,145,"Action, Crime, Drama",Kathryn Bigelow,"James Cameron (story), James Cameron (screenplay), Jay Cocks (screenplay)","Ralph Fiennes, Angela Bassett, Juliette Lewis, Tom Sizemore",A former cop turned street-hustler accidentally uncovers a conspiracy in Los Angeles in 1999.,English,USA,2 wins & 4 nominations.,https://m.media-amazon.com/images/M/MV5BODFkMTBmNjktMjM1Yy00MjY5LTliMGEtM2FhYjE2YjRmN2RkXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.2/10'}",N/A,7.2,"60,744",tt0114558,movie,07 Sep 1999,N/A,Twentieth Century Fox Home Entertainment,N/A,True
The Umbrellas of Cherbourg,1964,NOT RATED,1964-12-16,91,"Drama, Musical, Romance",Jacques Demy,Jacques Demy (scenario and dialogue),"Catherine Deneuve, Nino Castelnuovo, Anne Vernon, Marc Michel",A young woman separated from her lover by war faces a life-altering decision.,"French, English","France, West Germany",Nominated for 5 Oscars. Another 5 wins & 2 nominations.,https://ia.media-imdb.com/images/M/MV5BZmMyNzg3MGYtZTllNS00MjVjLWI0NmQtMTZlNzBmZjBjZTZmXkEyXkFqcGdeQXVyMjgyNjk3MzE@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '7.8/10'}",86,7.8,"18,647",tt0058450,movie,28 Oct 1997,N/A,Zeitgeist Films,N/A,True
Three Wishes,1995,PG,1995-10-27,115,"Drama, Fantasy",Martha Coolidge,"Clifford Green (story), Ellen Green (story), Elizabeth Anderson (screenplay)","Patrick Swayze, Mary Elizabeth Mastrantonio, Joseph Mazzello, Seth Mumy","In an unexplained act of charity, Jeanne Holman, picks up an injured, apparent tramp and takes him home to care for him little realising who he was or the effect he would have on her life and those of her family.",English,USA,1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTYzMTYxODc2N15BMl5BanBnXkFtZTcwMTMzNjAwMQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.2/10'}",N/A,6.2,"2,313",tt0114663,movie,07 Aug 2001,N/A,HBO Video,N/A,True
Total Eclipse,1995,R,1995-11-03,111,"Biography, Drama, Romance",Agnieszka Holland,Christopher Hampton (screenplay),"Leonardo DiCaprio, David Thewlis, Romane Bohringer, Dominique Blanc","Young, wild poet Arthur Rimbaud and his mentor Paul Verlaine engage in a fierce, forbidden romance while feeling the effects of a hellish artistic lifestyle.",English,"UK, France, Belgium",1 nomination.,https://m.media-amazon.com/images/M/MV5BMjEyMTY0NDM2N15BMl5BanBnXkFtZTcwMjMzNDYxMQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.6/10'}",42,6.6,"11,890",tt0114702,movie,21 Dec 1999,N/A,New Line Home Entertainment,N/A,True
"To Wong Foo Thanks for Everything, Julie Newmar",1995,PG-13,1995-09-08,109,"Comedy, Drama",Beeban Kidron,Douglas Carter Beane,"Wesley Snipes, Patrick Swayze, John Leguizamo, Stockard Channing","Three drag queens travel cross-country until their car breaks down, leaving them stranded in a small town.","English, French, Italian",USA,Nominated for 2 Golden Globes. Another 1 nomination.,"https://ia.media-imdb.com/images/M/MV5BMjEyNzgxNTk0OF5BMl5BanBnXkFtZTcwOTAzNjgyMQ@@._V1._CR2,3,261,413_SX89_AL_.jpg_V1_SX300.jpg","{'Source': 'Internet Movie Database', 'Value': '6.4/10'}",N/A,6.4,"23,921",tt0114682,movie,07 Jan 2003,N/A,Universal Pictures,N/A,True
Under Siege 2: Dark Territory,1995,R,1995-07-14,100,"Action, Thriller",Geoff Murphy,"Richard Hatem, Matt Reeves, J.F. Lawton (characters)","Steven Seagal, Eric Bogosian, Everett McGill, Katherine Heigl","Casey Ryback hops on a Colorado to LA train to start a vacation with his niece. Early into the trip, terrorists board the train and use it as a mobile HQ to hijack a top secret destructive US satellite.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BMmUxMDE0MTItMTRiMC00YzgwLTkwODItN2FkOTQ0MjNhY2QwXkEyXkFqcGdeQXVyMDEwMjgxNg@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.4/10'}",N/A,5.4,"39,922",tt0114781,movie,16 Dec 1997,N/A,Warner Home Video,N/A,True
Unstrung Heroes,1995,PG,1995-09-22,93,"Comedy, Drama",Diane Keaton,"Franz Lidz (book), Richard LaGravenese (screenplay)","Andie MacDowell, John Turturro, Michael Richards, Maury Chaykin","Steven Lidz, unhappy with his home life since his mother got sick, goes and lives with his two crazy Uncles. There he changes and gets closer to his Uncles, but his parents want him home ...",English,USA,Nominated for 1 Oscar. Another 2 nominations.,https://m.media-amazon.com/images/M/MV5BNGI4YWI4YmYtZTAyMS00NGE0LThlMDUtNmQ1OTcyMGUwNTM1XkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.7/10'}",70,6.7,"2,843",tt0114798,movie,03 Jun 2003,N/A,Hollywood Pictures,N/A,True
Unzipped,1995,R,1995-08-11,73,Documentary,Douglas Keeve,N/A,"Roseanne Barr, Sandra Bernhard, Robert Best, Natane Boudreau","Isaac Mizrahi, one of the most successful designers in high fashion, plans his fall 1994 collection. He combines inspirations such as the Hollywood Eskimo look, the Mary Tyler Moore show, ...","English, French",USA,2 wins & 1 nomination.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwODIwMTk2Nl5BMl5BanBnXkFtZTcwMzA4NDUyMQ@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.4/10'}",N/A,6.4,956,tt0114805,movie,13 Jan 2004,N/A,Miramax Films,http://for some language,True
A Walk in the Clouds,1995,PG-13,1995-08-11,102,"Drama, Romance",Alfonso Arau,"Robert Mark Kamen (screenplay), Mark Miller (screenplay), Harvey Weitzman (screenplay), Piero Tellini (story and screenplay material: ""Quattro passi fra le nuvole""), Cesare Zavattini (story and screenplay material: ""Quattro passi fra le nuvole""), Vittorio de Benedetti (story and screenplay material: ""Quattro passi fra le nuvole"")","Keanu Reeves, Aitana Sánchez-Gijón, Anthony Quinn, Giancarlo Giannini",A married soldier returning from World War II poses as a pregnant woman's husband to save her from her father's anger and honor.,English,"USA, Mexico",Won 1 Golden Globe. Another 4 nominations.,https://m.media-amazon.com/images/M/MV5BNjg3OTQzOTM5MF5BMl5BanBnXkFtZTYwNTY5NzY5._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.7/10'}",54,6.7,"27,909",tt0114887,movie,09 Jan 2001,N/A,Twentieth Century Fox Home Entertainment,N/A,True
Waterworld,1995,PG-13,1995-07-28,135,"Action, Adventure, Sci-Fi",Kevin Reynolds,"Peter Rader, David Twohy","Kevin Costner, Chaim Jeraffi, Rick Aviles, R.D. Call","In a future where the polar ice-caps have melted and Earth is almost entirely submerged, a mutated mariner fights starvation and outlaw ""smokers,"" and reluctantly helps a woman and a young girl try to find dry land.",English,USA,Nominated for 1 Oscar. Another 5 wins & 8 nominations.,https://m.media-amazon.com/images/M/MV5BYzE4NTRmMDYtNWYzYi00YmNkLTk4NDEtYjFmMDc4ODQ3ODY2XkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '6.1/10'}",56,6.1,"160,085",tt0114898,movie,01 Nov 1998,N/A,MCA Universal Home Video,N/A,True
White Man's Burden,1995,R,1995-12-01,89,"Drama, Thriller",Desmond Nakano,Desmond Nakano,"John Travolta, Harry Belafonte, Kelly Lynch, Margaret Avery","The story takes place in alternative America where the blacks are members of social elite, and whites are inhabitants of inner city ghettos. Louis Pinnock is a white worker in a chocolate ...",English,"France, USA",N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BYTY1ZjgzZTEtMmQwOS00NzA4LWJlOTYtNzhjNzMzMWY5NmQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.2/10'}",N/A,5.2,"4,202",tt0114928,movie,11 May 1999,N/A,HBO Video,N/A,True
Wild Bill,1995,R,1995-12-01,98,"Action, Biography, Western",Walter Hill,"Peter Dexter (book), Thomas Babe (play), Walter Hill (screenplay)","Jeff Bridges, Ellen Barkin, John Hurt, Diane Lane",The early career of legendary lawman Wild Bill Hickock is telescoped and culminates in his relocation in Deadwood and a reunion with Calamity Jane.,"English, Sioux, Cantonese",USA,3 nominations.,https://images-na.ssl-images-amazon.com/images/M/MV5BMjI0MjI4NDkyOF5BMl5BanBnXkFtZTcwNzQ0NTg3NA@@._V1_SX300.jpg,"{'Source': 'Internet Movie Database', 'Value': '5.9/10'}",N/A,5.9,"5,456",tt0114938,movie,20 Mar 2001,N/A,MGM Home Entertainment,N/A,True
